index,full_text,sentiment
35,bop still bop even bop more bop more and more bop  intinya lagu angkot senam skj dj full remix yang gue suka banget anjir,Neutral
36,tanyarlfes dulu gue saking ga suka duduk hadapan tiap mau naik angkot nyari yg kursi depannya kosong hehe meskipun pak sopirnya banyak ngomong sama nguras waktu si,Neutral
37,tapi teh lampu live wuji ma teyong meuni remang kaya angkot melong,Neutral
38,jadi kangen jaman sekolah  kangen naik bus kangen naik angkot huhu,Neutral
39,gue dulu di kursi ulang tahun tapi duduk nyamping ngadep pintu pokonya kursi kursi deket pintu tuh inceran nomer satu ketika masuk angkot soalnya biar turunya gampang ,Negative
40,ancrit ngakak banget wkwkw posisi yg paling ga gue suka itu di kursi ulang tahun paling banyak dapet perhatian orang  kursinya kecil bet bikin sakit pantat  kena angin lebih banyak bisa bikin puseng  duduknya kebalikan arah laju angkot jd lebih cepet puseng,Neutral
41,fagtng mau tiga periode tapi ditolak bahkan oleh semua anggota koalisi yang songong itu sebenarnya siapa mau pildun u tapi gak mengkaji konstitusi lalu menyalahkan orang lain yang ngangkangin mk itu apa kurang sombong yang mengabaikan etika seperti sopir angkot itu siapa,Neutral
42,tanyarlfes wkwkwk iya di angkot tuh suka serba salah gt kita mo liat kemana soalnya hadepan kann,Neutral
43,tanyarlfes tau bgt rasanya naik angkot tuh mau madep ke arah jlanan dpn sebelahnya ada org mau madep bawah gk enak jadi madep sesuai arah duduknya aja gitu liat ke jendela ke jalanan ak awal juga ngerasa aneh berasa diliatin tpi habis itu pahamm wkwk tpi kamu berani bgt sih nderr,Neutral
44,soonyoungdepok iya min baru tau gue kira dia nerusin usaha babenya juragan angkot,Negative
45,tanyarlfes kalo aku sih langsung turun dari angkot terus nyari angkot lain,Neutral
46,tanyarlfes ini lah kenapa aku lebih milih duduk di dekat pintuu jdi gada kejadian kyk gini krn aku lihat jln lgsg dri pintu angkot nya ,Neutral
47,kumparan mau tiga periode tapi ditolak bahkan oleh semua anggota koalisi yang songong itu sebenarnya siapa mau pildun u tapi gak mengkaji konstitusi lalu menyalahkan orang lain yang ngangkangin mk itu apa kurang sombong yang mengabaikan etika seperti sopir angkot itu siapa,Neutral
48,matanajwa banyak ibu hamil naik angkot ataupun motor juga sehat aja beda kali ama ibu premium stoppropaganda,Neutral
49,limapuluhboleh yeu asbak angkot,Neutral
50,evidrajat mau tiga periode tapi ditolak bahkan oleh semua anggota koalisi yang songong itu sebenarnya siapa mau pildun u tapi gak mengkaji konstitusi lalu menyalahkan orang lain yang ngangkangin mk itu apa kurang sombong yang mengabaikan etika seperti sopir angkot itu siapa,Neutral
51,anjeng gue waktu kelas  naik angkot paling sering duduk di tempat ini alias madep ke blkg kan ya mual banget jujur kepala pusing pengen muntah mana sendiri ga ada barengan dan jarak dari sekolah ke rumah km trus harus jalan kaki lagi dikit itu gue nahan nahan sampe rmh muntah,Neutral
52,tanyarlfes kalo gak hadepan namanya bukan angkot tapi angvanza ,Neutral
53,pulang sore sebelum ke halte naik angkot dulu panas panasan desek desekan aroma org org semua nyampur jd satu macet udh kliyengan bgt kek mo pingsan akhirnya muntah doang trus nangis sambil lanjut jalan karna kudu naik angkot lg desek desekan nangisnya bener bener nangis,Neutral
54,sudah menerima keadaan bahwa gue menua tapi masih suka terkaget kalo kurang tidur efeknya langsung dibayar kontan dgn masuk angin dan pegel linu  gak pake numpuk dulu capeknya sekali kurang tidur langsung masuk angkot uzur banget ya,Neutral
55,amirwawan tanyarlfes jadi kangen naik angkot,Neutral
56,oknum berseragam malak tukang angkotgatau malu,Negative
57,blueskycean tanyarlfes biar fleksibel ditempat gw juga ada angkutan yg ngadep normal relasi sukabumi bogor kendaraan mendekatkan diri kepada tuhan  soalnya dulu pas angkot jaman jaya suka dipake buat pindahan kargo bawa kmbing hasil bumi buat dijual pasar   segalanya dimasukin,Neutral
58,asli kalau di angkot bikin salting mulu wkekskskwkkw berasa paling diliatin anjrit lah,Negative
59,theghiblihouse jgn kan jd supir tembak kalo kak iji nyuruh aku jd kenek angkot bulanan jg aku jabanin,Neutral
60,lukebali jokowi mau tiga periode tapi ditolak bahkan oleh semua anggota koalisi yang songong itu sebenarnya siapa mau pildun u tapi gak mengkaji konstitusi lalu menyalahkan orang lain yang ngangkangin mk itu apa kurang sombong yang mengabaikan etika seperti sopir angkot itu siapa,Neutral
61,eh anjg mata gw sakit banget tadi pagi beneran ga tau ketimpa apaan ngentot gw mau nyalip angkot sama truk antara dua ini yg lempar sesuatu yang pasti bukan batu sih,Neutral
62,mau tiga periode tapi ditolak bahkan oleh semua anggota koalisi yang songong itu sebenarnya siapa mau pildun u tapi gak mengkaji konstitusi lalu menyalahkan orang lain yang ngangkangin mk itu apa kurang sombong yang mengabaikan etika seperti sopir angkot itu siapa,Neutral
63,efenerr nametag masih dipake di angkot namanya pamer dan norak,Neutral
64,upifess naik damri yang ke dago aja trus turun di halte balkot abis itu naik angkot kalapaledeng nder,Neutral
65,tanyarlfes aku pernah naik angkot bareng para penari kuda lumping pas mau naik mereka bilang sini mbak ih aku udah takut duluan akhirnya duduknya jauhan trus waktu mereka turun ngeliatin mulu tapi ga aku tanyain karena udah takut duluan ,Neutral
66,anginributmu wkwkwkwkw ngakak bgt kalo diangkot ijo sukak banyak yang aph kita naik angkot ijo ajh nanti tiba tiba bang pinjem dlu sratus eh salah gitar,Neutral
67,mencatat hari ini full ditemani lagu galau jawa lagu campur sari sholawatan lagu angkot selera tetangga ku campur aduk jos,Negative
68,tanyarlfes ttttpi sistem angkot hadep hadepan kan udh dari dulu nder aku klo ada yg ngeliatin ya aku cuekin,Neutral
69,pengen nyobain naik angkot,Neutral
70,finifuegal dj angkot mau,Negative
71,tanyarlfes di tempat w ada kok angkot yg madep depan itu khusus buat perjalanan jauh,Neutral
72,wkwkwkw pernah ga naik angkot memandang ke luar trs malah dikedipin sama pengendara lain,Neutral
73,hari ini entah knp mellow bgt di angkot literally  dari  org pd tidur yg sampe palanya nunduk hpnya jatoh  blm lg jalanan full klakson huhu sesungguhnya kita semua cuma org yg nyari duit guys ,Neutral
74,irfanaprianda adithbukan engga bang masih naek angkot pada jamannya ,Neutral
75,joging sampe sempur cuma dapet bagian beli minum doang abis itu balik naek angkot krn ujan,Negative
76,halo min td aku naik angkot janglingko dan mesin nya error gitu terus burem jg jd ga kebaca apa jd aku gatau udah tap out atau blm terus kata supirnya td gapapa beneran gapapa gak ya min aku takut kartu aku keblokir  pttransjakarta,Neutral
77,tanyarlfes yg udh naik kereta cepat itu rasanya gmana apakah berasa bgt cepetnya kayak dibawa ngebut naik angkot apa gmana gtu,Neutral
78,tanyarlfes angkot di balikpapan kaya mobil sedan biasa kursi depan tengah sama belakang ga hadap hadapan malah pas naik angkot hadap hadapan ngerasa kaget,Neutral
79,emang kadang hidup ini brengsek mau mukul supir angkot mau nampol tante gw yang sombong sumpah  saat ini pengen marah,Neutral
80,dulu gw kalo ga sekolah karena alasan sepele pasti dimarahin giliran adik urng gak sekolah karena telat padahal masuk sekolah  dia bilang  udh telat dan gakmau sekolah padahal jarak rumah ke sekolah gak sampe km itu juga kalo naik angkot cuma  mnt,Neutral
81,btw udah lama ga ngeliat dan ketemu sm mas kebayoran itu yg kalo berangkat kerja agak siang ketemu di kereta dan angkot terus td sore pulang kantor ketemu awalnya ga ngeh ada yg ngeliatin di tap pintu masuk rawa buntu trs gue liatin balik dan ending up eye contact ternyata dia,Neutral
82,tanyarlfes begitulah emang awkward banget  jadi keingetan bangun tidur di angkot tiba ada yang dadah ternyata si faridm waktu masih sama jadi angkoters jaman sekolah,Neutral
83,aurapororo blehh sambil peluk kang angkot nya juga bleh banget,Neutral
84,lagu dj angkot ternyata nagih cuy ,Negative
85,curreintly nugas sambil dj angkot,Neutral
86,sosmedkeras jir bener juga lagi gua berangkat kerja jam  jam  malem masih di jalan naik angkot was was di jadiin bahan ,Neutral
87,tanyarlfes angkot di sumedang gak hadapan nder wkwk,Neutral
88,convomfs sehat sehat ayahnya sender  sosok ayah emang gini yaa kalo anaknya baru mulai kerja gue dulu dianter alm ayah kalo masuk shift  dan di jemput pas pulang saat masuk shift  karna udah gak ada angkot,Neutral
89,yunho gabisa diajak naik angkot,Neutral
90,ini adalah aku tadi ps naek elf karena angkot udh pd gak jalan njir alias takut bangettt ngebuttttt salipsalipn masihh pgn ketemu svtenha,Neutral
91,tanyarlfes terpantau sendernya anak orang berada  ga pernah naik angkot ,Neutral
92,ttaehyung angkot dong maksudnya angkut ,Negative
93,gue kaga cemburu sm lontlont itu ambil aja malahan yg murahan kaga usah diperjuangkan masa spek mercy mau di setaraka  sm spek angkot ,Neutral
94,tanyarlfes baru naik angkot pertama kali langsung ada cerita lucu yaa wkwkwk,Neutral
95,tamaverie oke deh gw malah bm naik angkot ,Neutral
96,makasih buat lagunya dj angkot jokovhic,Negative
97,tanyarlfes mobil angkot ada ngga sih diluar negeri,Neutral
98,kontenberfaedah hadeh beritanya kalo gak fortuner pasti pajero ehh makhluk egois dan bodoh yang punya fortuner dan pajero mobil kalian tuh kalo di papua cuma jadi angkot dan tempat angkut barang doang jing malu kontol,Negative
99,mokrals wkwkwkwk mlm waktunya dengerin playlist angkot ye,Neutral
100,tanyarlfes besok kalo naik angkot lg cobain duduk di kursi artis nder,Neutral
101,midnitetrendy duhhhhh ini kenapa ril bgt aku pertama kali dengeri lagu ini yang full tuh kesetel di radio angkot,Neutral
102,terima kasih juga dj angkot biarpun sampai akhir gak ada yang salamin aku  jokovhic,Neutral
103,mainlyjay dahlah kamu  yuk di stadion merpati nanti kita yg nonton tinggal carter angkot  gampang transportnya,Neutral
104,baeswumin nyusul pake angkot sini min,Neutral
105,nyuci bisa masak bisa angkot galon bisa nyetrika bisa jadi bahan gabut bisa jadi badut bisa jadi hts bisa jadi second choice bisa jadi pelampiasan pun bisa aku mah serba bisa,Neutral
106,selfolconvo lagi nungguin angkot lewat ge,Neutral
107,kuwromiii calon duta angkot,Neutral
108,makanya aku selalu pake jaket di angkot diem aja klo mau maen abis kerja pasti bawa baju ganti,Neutral
109,anythingokeyy kebalik,Neutral
110,parklsungho kenapa kok carter angkot mau kemana,Neutral
111,masukmasuk seno langsung dangdut angkot ,Negative
112,writtensite mo naik angkot lu,Neutral
113,beractsi ohhhh naik angkot kah,Neutral
114,navalliere jokovhic calashvi heidyfaux terima kasih semuanya udah saatnya fokus ibadah angkot lagi ,Neutral
115,inxrizaki topik supir angkot deket rumah gua ka,Neutral
116,rizikramadhan babarionino dulu temanteman cowok yang ke arah pasming malu kalo naik angkot sa lebih pilih  padahal arah mirip mirip katanya malu kalo naik angkot karna itu buat cewek ,Neutral
117,tmidnnews pertahanan lamborghini penyerang angkot m,Neutral
118,pernah bawa lem tulisan jepun made in china disebut lem korea ke manamana karena patah mana kacamata rb  minus  setelah sebelumnya kacamata jatuh di angkot   bahaya emang hampir ketabrak motor depan komplek pas turun dr angkot itu,Neutral
119,heesllv enginafess bisa kak buat angkot,Neutral
120,nunggu angkot,Neutral
121,tanyarlfes aaa jadi keinget dulu pas awal naik angkot suka kepikiran diliatin sama org yg duduk di dpn gw padahal mah kgk ,Neutral
122,amirwawan tanyarlfes aku dulu kalo naik angkot sering duduk di kursi ulang tahun bomat ga ku peduliin ya walaupun kadang sedikit salting ,Neutral
123,kenapa transjakarta mrt krl ga dikasih playlist lagu kaya angkot ya,Neutral
124,  terlalu asyik sampai lupa ini sudah jam berapa rasanya jika ke depok malam begini apakah angkot masih akan berlaku ,Neutral
125,mff lagu ku emg jamet angkot pasar minggu lebak bulus ,Neutral
126,evokatio sksjsjsjd not the angkot one papi ih jangan bertingkah kayak orang susah gini dong pi gak level kita,Neutral
127,kontenberfaedah sumpah fortuner ada masalah apsi anj baru kejadian tadi sore lagi anteng bawa motor hampir ke srempet fortuner gara dia nyalip kebutan pdhl posisinya si jalan raya ni ga gede amat dikira jalan nenek moyangnya apa ya smpe di klaksonin bbrapa angkot karena emg bikin risih,Neutral
128,shiniestaar dihhh lagu angkot kesukaan semua org ye,Neutral
129,tanyarlfes anak zaman skrg gitu kalo naek angkot wkwkwkwkwk baperan kinthil,Negative
130,curreintly lojin sambil mendengarkan dj angkot,Negative
131,curreintly mending dj angkot nugas sambil login ml,Neutral
132,curreintly kamu ketik aja dj angkot pasti nanti ada playlistnya,Neutral
133,curreintly dj angkot lahhh,Neutral
134,burhaninfinity biasa iku mas penyakitnya angkot,Negative
135,mending aku nugas sambil dengerin dj angkot atau login ml yh,Neutral
136,tanyarlfes gue pernh bgt kayak lu nder tp bukan tentang angkot sih lbh kepdannyaa nii cowo mantan crush gue anjir w kira kan bnran dia galauin gue gataunya ngga ggra tmn w blg gt w nnya ke orgnya lgsg gataunya tmn w ngarang ,Neutral
137,txttransportasi semoga aja ada rute depok  lebak bulus yg menggantikan angkot  yg di potong sampai pondok labu,Neutral
138,tanyarlfes hahahahaah njir bisanya  dl w naik angkot akan mencari yg kosong biar bs dpt pojok belakang wkwkw,Neutral
139,blueskycean tanyarlfes dri aku kecil perasaan angkot ya duduknya nyamping klo depan namanya kol ditempatku ,Neutral
140,pacargojow yg dj angkot,Negative
141,taekoonikah siapa yang akan iri dngan lagu angkot,Neutral
142,tanyarlfes lu yg baru naik angkot kok dah ngatur sistem tempat duduk aja sih nder  silahkan atur sendiri perasaan tengsin dan malunya bkn ngatur yg lain wkwkwk gpp nderrr jgn kapok naek angkotnya ya ,Neutral
143,kisseuikeu iya naik angkot,Negative
144,gumusservile iya pintu angkot aja sebelah kiri,Neutral
145,tapi yah ngomongin di angkot gue pernah adepan sama orang yg lagi ngocok anunya di angkot  mana kakinya nempel ke kaki gue padahal gue udah mepet ke pojokan dan buang muka gue ga berani teriak karna ini bukan di ranah gue ,Neutral
146,tanyarlfes ada kok beberapa angkot yg g hadapan wkwk cuman emang seringnya gitu,Neutral
147,pov main sukebak sambil denger radio angkot ,Negative
148,convomfs iyaaa pernah minum yg stroberi x beli waktu sama mbah uti naik angkot tujuannya kayaknya ke rumah sakitt terus mampir beli jajan di sebelah rs mungkin waktu itu aku tk besar masih inget sampai sekarang kangen mbah uti al fatihah,Neutral
149,tanyarlfes pd bngt sih nderrr kalau aku sih langsung loncat dari angkot wkkwkw,Neutral
150,potterjameson duit dri angkot ya,Negative
151,angkot mana yg puter lagu ini angkot gangnam city,Negative
152,tanyarlfes gue kalau satu angkot sama lu nder langsung ngakak sih,Neutral
153,upi dari leuwi panjang ke upi naek angkot apa ya,Neutral
154,ini lagunya di angkot premium doang ya,Negative
155,tanyarlfes lu baru naik angkot sekali dan belum tentu naik lagi udah ngatur angkot begini dan begitu njir njir ,Neutral
156,ke asikan naik angkot hampir dibawa puter balik ke ciroyom ,Neutral
157,rutoflyss akuu jj angkot adanya,Neutral
158,tanyarlfes untung kamu ga duduk di kursi ulang tahun bisa salting diliatin seluruh orang angkot,Neutral
159,siapsiap mikrotrans angkot berac di jakarta akan diperbanyak mulai   ,Neutral
160,berasa di angkot daritadi ,Negative
161,yodadehh kalo aku yah siapa yg nanya gapapa biar akrab aja udah apal kalian  dari kls  soalya dulu ongkos angkot satu orang  for some fucking reasons jadi udah apal sampe x soalnya temennya ga pernah lebih ,Neutral
162,clavertart supir angkot medan agar bar bar apalagii td macet kan aku yg disebelah nya ketar ketir krn blio kenceng bgt skskskis trabas sana sini bjirr,Neutral
163,tanyarlfes wkwk jgn kapok naik angkot ya nder,Neutral
164,astagah lama banget jir berangkatnya ini kapal atau angkot sih nunggu banyak banyakan baru jalan,Neutral
165,tanyarlfes bisa bisa jadi yang pertama dan terakhir naik angkot ini mah wkwk,Neutral
166,txtdrimedia seat belt mah kga ada bu gigi ketok jendela angkot untuk kursi pelontar cusss,Neutral
167,shotarods iya masih kak lagu angkot alias dangdut jedagjedug,Neutral
168,shotarods emang masih playlist angkot kak wkkw,Neutral
169,tanyarlfes angkot masih ada ya,Negative
170,wriothhesley ak denger jj angkot smbil belajar,Neutral
171,tanyarlfes angkot di kotaku alhamdulillah ga adepan kwk bkin canggung kek crt mbanya ya,Neutral
172,komnas perempuan dorong pemkot pasang larangan masturbasi di angkot ,Neutral
173,jek grabid makan burjo di depan orang arab banyak sih yang ijo tapi yang keren pastinya grab   beli kismis di pasar oren pilih aku plis wahai admin yg keren grabid   ada ojek ada angkot stang jek emang paling tot eh top  hematematikagrabfood bebasseenaknya,Neutral
174,tanyarlfes teruuus lanjutannya gimanaa nderr siapa tau bisa jadi ftv di angkot cinta kita bertemu,Neutral
175,aku pernah turun dari angkot pas ngasih ongkos malah nyodorin tangan mau salim ke abangnya,Neutral
176,kalo banjir jadi macet trus pas naik angkot diturunin di tugu ku si mang dan aku harus jalan kaki dari tugu sampe rumah ,Neutral
177,lagu di angkot,Neutral
178,kalo ada mah gua jaman tpb langganan naik angkot dah ,Neutral
179,kejepit di angkot  aiiiiiii  selametin  ,Neutral
180,takut muntah di angkot bukan kerana stella tapi kerana sukebak,Neutral
181,wwkwkkw aku pas sma pernah ga sengaja nyanyi tahu bulat kenceng bgt dalam angkot krn denger abang tahu bulat lewat eh diketawain seangkot,Neutral
182,nadir kecil menaiki angkot jurusannya untuk pulang namun hidungnya disapa bau tidak sedap huek bau ketek ia menengok ke satusatunya penumpang dalam angkot ,Neutral
183,sumpah angkot yg sering gue naikin juga lagunya begini ,Neutral
184,sok bayangin atuh lagi macet naik angkot disuguhi lagu angkot bersama satu gerombolan bocil smp lagi heboh main sukebak,Neutral
185,masa dri itu kita dengerin jedag jedug angkot aja walo pacar sendiri ampe heran,Neutral
186,tanyarlfes abis itu trauma naik angkot,Neutral
187,partaisocmed kecewa gegara dipasang di angkot ini ,Negative
188,ustadchen disuruh turun duluan di angkot padahal samasama mau turun soalnya udah nyampe sekolah kisah  tahun yg lalu,Neutral
189,main sukebak di angkot,Neutral
190,estehespresso lajur kiri biasanya buat yg lambat kaya motor atau angkot ga sih terus mobil sebelah kanan kl aku udah emosi sih,Neutral
191,dalam konteks pohon tumbang di tajur sampe nutup jalan bahkan angkot  pun tidak menyanggupi sampe ciawi,Neutral
192,saking udh sekian lama pp naik angkot kalo ada kejadian pohon tumbang sampe susah lewat gini saya sudah sampai pada prinsip terserah abang angkotnya aja mau bawa saya lewat mana yg penting saya sampe rumah,Neutral
193,awsmhuman gocar gocar ngawur kamu supir angkot ini,Neutral
194,gxgprilove jangan galau nder ayo dengerin dj angkot bersamaqu,Neutral
195,tanyarlfes langsung trauma ga naik angkot lagi,Neutral
196,tanyarlfes anjay first time naik angkot vibes orang kayanya udah kecium kok kak,Neutral
197,tanyarlfes bakal jadi pertama dan terakhir naik angkot dah kayanya wkwkwkw,Neutral
198,tanyarlfes pengen naik angkot deh  ,Neutral
199,hunterkishibe gak mau mesti dempetdempetan kayak di angkot,Neutral
200, malu bgt astgtahfdkahysj bisa gk sih angkot sistem duduknya gk usah hadapan ,Neutral
201,sonyaamriani eh angkot salahmaklum  tahun yang lalu,Neutral
202,getawoonhak seru dong nanti dedek gak perlu capekcapek naik angkot,Neutral
203,txtdrimedia biasa naik angkot mikrotrans kali ,Neutral
204,dan lo terus gas mobil angkot lo nabrakin body motor gue sampe gue hampir jatoh dan akhirnya gue lewat jalan yg ga mau gue lewatin krn gue gatau jalan itu babi semuanya anjing bukan lo pada doang yg mau sampe rumah cepet terus istirahat semuanya sama gue udah pake lampu sen ,Negative
205,udah basah kuyup krn ujan macet ditabrak angkot disenggol motor tolol udah tau di gang sempit ada mobil lawan arah tolol bukan lo doang anjing yang keujanan lo buta gue basah kuyup ga pake jas ujan lo enak pake jas ujan lo enak ya bapa angkot pake mobil ga ujan ,Neutral
206,kalo gak fortuner ya pajero  mobil mahal mental angkot,Neutral
207,convomfs adaaaa wkkwkw dulu beli ini jaman sekolah dasar harganya masihn  lumayan harga segini tuu pada saat ongkos angkot  perak,Neutral
208,punya temen kerjanya jadi supir angkot eh tibatiba berhenti karna ada yang mau naik hhehe,Negative
209,wriothhesley terakhir muter playlist dj angkot kalo pas lagi stress berantem sama pacar,Neutral
210,hari ini dikasih ongkos gojek buat pulang karna ga dijemput terus gweh malah memilih nebeng sampe pertigaan trs lanjut naik angkot cuma abis k sisanya buat jajan wkakkakakakakakakaka,Negative
211,akhirnya ciputat ujan mayan biar debu angkot pada ilang,Neutral
212,tau ini karna mereka ngobrol dg suara yg biasa aja sih volumenya yha suara ngobrol di angkot lah tp clear bgt tiap katanya despite the jakartas traffic crowded noise emang bakat dubbervoice over,Neutral
213,abang angkot ngerokok w batuk lgsg dimatiin rokoknya ok mantap,Neutral
214,hendery as knek angkot juga ga kalah ok ,Neutral
215,minmonps usaha angkot itu padat modal beda dgn usaha gorengan yg padat karya min bijak dikitlah,Neutral
216,tempodotco maju megawati yg kecewa mundur prabowo yg kecewa  klo maju mundur maju mundur yg kecewa penumpang angkot   bang sopir dek indit moal  mun lila keneh dek pinah angkot   ,Neutral
217,ada yg beresberes atau bersihin rumah pake playlist dj angkot gitu coba adu mekanik sama ini orang ,Neutral
218,uliieeeee beneran anjiirr lupa bawa duit receh buat naek angkot mau naek biskita muter dl ke ciawi trs psti macet krn ada pohon tumbang d tajur,Neutral
219,keretacepatid turunnya bisa di setiap halte halte jelek bdg atau bisa dimana aja kaya angkot,Neutral
220,aglseeun apa ngik ngok emang angkot bunyinya gitu yah,Neutral
221,ganjar versi sopir angkot dong  ganjar presiden ,Neutral
222,mamak ketika kami naik angkot dan beliau berencana ngirit ongkos transportasi,Neutral
223,aku kangen naik angkot,Neutral
224,ihkwanbasori berrycheekss petitefillez kegblgnunfaedh entar lu lagi nyeberang di tabrak angkot terus dibilangin elu yg salah soalnya nyebrang ga di tempat penyeberangan mau digituin  padahal lu cuman nyebrang di dalam kompleks,Neutral
225,temen mau tanya dong misal mau ke transmart yasmin naik angkot tuh berapa kali ya terus berhentinya di mana aja,Neutral
226,bolaubi naik angkot aja,Neutral
227,emng bapak tuh suka begitu  anaknya gausah dijemput lagi suruh naik angkot aja udah sampe mana pi  ga ada deh nonton konser banyakan mudharatnya emng kurang brp uangnya  jiakhhh emak gua    bapak gua,Neutral
228,l masih menjadi misteri kenpa dj  playlist abang angkot selalu enak ,Negative
229,abomingles halo  kamu seperti angkot terminal depok berwarna biru,Negative
230,realitanya privilege orang tua itu bisa menjamin masa depan lo mana mampu  tahun kerja orang tuanya sopir angkot isi rekening sama kayak yg orangtuanya kerja kantoran walopun swasta,Neutral
231,ya allah seneng banget ketemu supirsupirnya jak lingko yang baikbaik   gue yang first time untuk angkot ini merasa terbantu banget dan sempet salah naik alhamdulillah di bantuin ,Neutral
232,hisjam inimustikus partaisocmed org jekardah aja banyak yg kontra sama anis yaitu orang yg kemana naek motor dan ga tau gimana caranya naek angkot gratis dan naek bus tj yg tarif murah,Negative
233,banyulangeni angkot avatar,Negative
234,uyonfutsal tournya pake angkot biar makin lokal,Neutral
235,angkot x sanrio  jastip ga ,Neutral
236,gue sering bawa roti tawar pake keju sama susu cokelat atau bawa nasi sama mie hehe terus jajanannya nabati pulang gerak jalan langsung balik rumah dan gak belajar lagi pada ngantri naik angkot depan gapura bungur seneng banget ya kalo diingetinget,Neutral
237, seconds apanya aku udah nungguin setengah jam lebih  dari aku di angkot sampe turun terus jalan sampe kosan ini kaga berubah juga  ,Negative
238,aku dan seevroo ketika di angkot,Negative
